App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
1800 Contacts - Lens Store,Love app. Super easy use. Ordered contacts less minute.,Positive,0.275,0.5416666667
1800 Contacts - Lens Store,"This easy use, ordering process fast efficient.",Positive,0.3166666667,0.7166666667
1800 Contacts - Lens Store,So simple cave man it!!,Neutral,0,0.3571428571
1800 Contacts - Lens Store,"Simple, fast easy use. No eye appointments",Positive,0.2111111111,0.5968253968
1800 Contacts - Lens Store,Very user friendly.,Positive,0.2875,0.4
1800 Contacts - Lens Store,Very easy use. Love free shipping,Positive,0.4877777778,0.8
1800 Contacts - Lens Store,Very easy use.,Positive,0.5633333333,1
1800 Contacts - Lens Store,Dope,Neutral,0,0
1800 Contacts - Lens Store,Easy affordable.,Positive,0.4333333333,0.8333333333
1800 Contacts - Lens Store,Easy,Positive,0.4333333333,0.8333333333
1800 Contacts - Lens Store,great,Positive,0.8,0.75
1800 Contacts - Lens Store,So easy app! Made ordering contacts breeze! Great prices too!,Positive,0.8385416667,0.7916666667
1800 Contacts - Lens Store,Does need do. No sense giving anything less 5 stars.,Negative,-0.1666666667,0.06666666667
1800 Contacts - Lens Store,Worked well glad I,Positive,0.5,1
1800 Contacts - Lens Store,It's hell lot easier I thought it would be!,Neutral,0,0
1800 Contacts - Lens Store,It made getting new contacts easy!,Positive,0.3390151515,0.6439393939
1800 Contacts - Lens Store,I love app! SO easy super convenient!!,Positive,0.5263888889,0.7
1800 Contacts - Lens Store,Hopefully work well. First time user.,Positive,0.25,0.3333333333
1800 Contacts - Lens Store,Contacts shipped time efficient.,Neutral,0,0
1800 Contacts - Lens Store,Very easy,Positive,0.5633333333,1
1800 Contacts - Lens Store,Easy access,Positive,0.4333333333,0.8333333333
1800 Contacts - Lens Store,"First time app, always used doctors office stand behind tore contacts. Hoping solve problem 1800contacts!",Negative,-0.125,0.5166666667
1800 Contacts - Lens Store,"Months later, GS9+, still notify expired lenses. Useless. ---- Lens notifications work, successfully pushes alerts discounts. The fundamental reason keep running lens expiration notification, work. (My notification settings fine.)",Positive,0.1666666667,0.4125
1800 Contacts - Lens Store,Good prices exceptional customer service. Order sent particular fault begin thoroughly checking information completing order. When I emailed I got response rather quickly (2 hours) correction made I receiving free overnight shipping ensure getting lenses promptly. Wonderful.,Positive,0.5444444444,0.7055555556
1800 Contacts - Lens Store,"It's quick easy order contacts app, I love it! And really saves time money, makes extremely happy! Got love free market capitalism!",Positive,0.5130952381,0.6476190476
1800 Contacts - Lens Store,Ordered Sunday. Got call verifying last name (recently married). Scheduled shipped Monday :) Happy customer,Positive,0.3875,0.5791666667
1800 Contacts - Lens Store,"Took 5 seconds find rx get contacts ordered, convenient.",Neutral,0,0
1800 Contacts - Lens Store,"Short, simple sweet. Super easy took less 5 mins order contacts. Plus savings!",Positive,0.1513888889,0.478968254
1800 Contacts - Lens Store,"Super easy. Not super cheap, cheaper actually going optometrist, good deals shipping.",Positive,0.2833333333,0.5944444444
1800 Contacts - Lens Store,Very useful streamlines eye care needs. Recommend contact wearers. 5/5. Very reliable shipping. easy well.,Positive,0.3411111111,0.3777777778
1800 Contacts - Lens Store,Very easy use. They remembered last order I figure out!,Positive,0.2816666667,0.5333333333
1800 Contacts - Lens Store,"This well designed, easy & convenient!",Positive,0.5416666667,0.8333333333
1LINE – One Line with One Touch,"gets 1* there's ad every single level restart, frustrating, potential",Negative,-0.1571428571,0.7047619048
1LINE – One Line with One Touch,"The game interesting challenging. However, often buffers gets stuck.",Positive,0.2,0.6333333333
1LINE – One Line with One Touch,nan,nan,nan,nan
1LINE – One Line with One Touch,"Wow ,i play 15 puzzle 1st round I remember puzzle solve childhood.. Lovely",Positive,0.1333333333,0.7166666667
1LINE – One Line with One Touch,Love game deleting I've waiting 3 months levels play. I several updates none updates added new levels,Positive,0.05909090909,0.3636363636
1LINE – One Line with One Touch,Way many aggressive ads,Positive,0.5,0.5
1LINE – One Line with One Touch,amaze i'm addicted,Negative,-0.4,0.6
1LINE – One Line with One Touch,I like game,Negative,-0.4,0.4
1LINE – One Line with One Touch,nan,nan,nan,nan
1LINE – One Line with One Touch,I play game,Negative,-0.4,0.4
1LINE – One Line with One Touch,It's toooo gud game,Negative,-0.4,0.4
1LINE – One Line with One Touch,"Too many unskippable ads. Other than, great game.",Positive,0.19375,0.50625
1LINE – One Line with One Touch,Mind uses game,Negative,-0.4,0.4
1LINE – One Line with One Touch,Too much ad,Positive,0.2,0.2
1LINE – One Line with One Touch,It great experience knowledge help game,Positive,0.2,0.575
1LINE – One Line with One Touch,Nice game,Positive,0.1,0.7
1LINE – One Line with One Touch,I really good game,Positive,0.15,0.5
1LINE – One Line with One Touch,I love game nice,Positive,0.2333333333,0.6666666667
1LINE – One Line with One Touch,It granite,Neutral,0,0
1LINE – One Line with One Touch,It confusing,Negative,-0.3,0.4
1LINE – One Line with One Touch,Its really fun,Positive,0.3,0.2
1LINE – One Line with One Touch,Is game beautiful,Positive,0.225,0.7
1LINE – One Line with One Touch,Guide,Neutral,0,0
1LINE – One Line with One Touch,SUPER,Positive,0.3333333333,0.6666666667
1LINE – One Line with One Touch,yoko,Neutral,0,0
1LINE – One Line with One Touch,It's great,Positive,0.8,0.75
1LINE – One Line with One Touch,Very nice,Positive,0.78,1
1LINE – One Line with One Touch,Good,Positive,0.7,0.6
1LINE – One Line with One Touch,Its cool,Positive,0.35,0.65
1LINE – One Line with One Touch,Cool,Positive,0.35,0.65
1LINE – One Line with One Touch,Fantastic,Positive,0.4,0.9
1LINE – One Line with One Touch,Superb,Positive,1,1
1LINE – One Line with One Touch,Excellent,Positive,1,1
1LINE – One Line with One Touch,Nice,Positive,0.6,1
1LINE – One Line with One Touch,Love,Positive,0.5,0.6
1LINE – One Line with One Touch,Fun,Positive,0.3,0.2
1LINE – One Line with One Touch,Enjoy,Positive,0.4,0.5
1LINE – One Line with One Touch,Love ❤❤❤❤❤❤❤❤❤❤❤❤,Positive,0.5,0.6
1LINE – One Line with One Touch,"Good graphics ok ,WAY many ads ridiculous can't skip them. Tbh waste time,would NOT recommend.",Positive,0.2333333333,0.52
1LINE – One Line with One Touch,Terrible amount ads covering content making unpleasant play. Avoid,Negative,-0.825,0.975
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Like The Old Version Better Where Backspace Is Beside P Letter And Emoji Is Below Capitalization.,Positive,0.3,0.35
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,I like far,Positive,0.1,1
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,It's really useful I really like,Positive,0.25,0.1
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,I can't send emojis without saying change input I know change input,Neutral,0,0
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,"BullSh*t.... When open apps, says sill never register personal data credit card number... Once go activate de setting, message pops say personal data credit data enregistrate... Hahha... Thats bullsh*t",Neutral,0,0.3666666667
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,nan,nan,nan,nan
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Good,Positive,0.7,0.6
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,nan,nan,nan,nan
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,"Easy use, best keyboard useful..",Positive,0.5777777778,0.3777777778
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,nan,nan,nan,nan
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Fuzzy,Neutral,0,0
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,I love,Positive,0.5,0.6
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Perfect,Positive,1,1
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Awesome,Positive,1,1
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,nan,nan,nan,nan
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,"This good keyboard emoji users, sensitive, constant nags change themes (which can't disabled, block top screen) extremely irritating.",Positive,0.1166666667,0.5722222222
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,"last update bug...i can't open keyboard setting, always fc , i'm back old version",Positive,0.025,0.1916666667
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Works fine. No need update,Positive,0.4166666667,0.5
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,nan,nan,nan,nan
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,You are here:,Neutral,0,0
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,I hate,Negative,-0.8,0.9
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Meh yeah,Neutral,0,0
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Amazing!,Positive,0.75,0.9
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Amazing app!,Positive,0.75,0.9
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Good emoji keyboard,Positive,0.7,0.6
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,It's lit,Neutral,0,0
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,nan,nan,nan,nan
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,nan,nan,nan,nan
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Its great,Positive,0.8,0.75
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Love it!!!!,Positive,1,0.6
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Good,Positive,0.7,0.6
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Loved,Positive,0.7,0.8
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Good,Positive,0.7,0.6
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,The best emoji keyboard ever in love,Positive,0.75,0.45
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Good,Positive,0.7,0.6
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,After update emoji can't used normally...,Positive,0.15,0.65
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Great,Positive,0.8,0.75
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Best keyboard & never freezes like keyboard Ive used. Ive never problems using think deserves 5 stars! ⭐⭐⭐⭐⭐,Positive,1,0.3
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,nan,nan,nan,nan
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,This really good go get ehh,Positive,0.7,0.6
21-Day Meditation Experience,Terrible! Not user-friendly like original app. Please give customers option both. I look forward navigating cumbersome app. Namaste!,Negative,-0.265625,0.875
21-Day Meditation Experience,Deeply disappointed. My free 21 days longer works. It asking high price meditations. I expect Oprah involved scam. I respect her.,Negative,-0.06333333333,0.6966666667
21-Day Meditation Experience,Update 3.0 looks good. Would 5* without added pictures purchasing products taking space phone. All products already available making pictures redundant. Thanks experience.,Positive,0.275,0.35
21-Day Meditation Experience,"I guess can't please everyone... I loved update. I'm sure idea ""streamlined"" is, can't even read full title meditation trying use, theres problem. I love meditations themselves, comparing update update. The quality functionality like comparing apples oranges opinion. I'm sure looking wanted changes... feels completely mark.",Positive,0.4416666667,0.687962963
21-Day Meditation Experience,This good ever I get notification phone stops meditation playing annoying I press play disturbs meditation. I prefer ed upgrade,Negative,-0.05,0.75
21-Day Meditation Experience,I able listen 21 days past 2 frozen / crashed play. I liked upgrade point lot.,Positive,0.2833333333,0.5583333333
21-Day Meditation Experience,"Love offers dislike intensely keeps playing episode episode hours end. Used stop selected finished, much better way.",Positive,0.325,0.525
21-Day Meditation Experience,"Seems like update occurred, let access free meditation experience. Yesterday did, today matter try let me. Frustrating.",Neutral,0,0.85
21-Day Meditation Experience,I'm 21 days FREE meditation attraction. At first I could see program free. But update keeps showing order continue I pay.,Positive,0.35,0.6444444444
21-Day Meditation Experience,I Started Manifesting I want From 2nd Day My Meditation. I Wholeheartedly Thank Deepak ji Oprah Bringing This Excellent App. Highly Recommend it!!!,Positive,0.4375,0.5133333333
21-Day Meditation Experience,Great experience. User friendly navigation.,Positive,0.5875,0.625
21-Day Meditation Experience,Cool,Positive,0.35,0.65
21-Day Meditation Experience,It would best crashing time. The new version keeps crashing every time I open app. I'm missing 21 day experiences ones I purchased I cannot access now. It's getting frustrating. Plus new version allow view daily meditation... Full Review,Positive,0.1278409091,0.4011363636
21-Day Meditation Experience,"The 21-Day Meditations excellent addition daily meditation practice. Truly enjoy listening Oprah & Deepak. Short enough anytime, AM PM. It would merit 5-star ongoing glitch. I've uninstalled reinstalled fixed it. When... Full Review",Positive,0.2642857143,0.4357142857
21-Day Meditation Experience,"This glitchy phone. More often not, it'll say ""mediation failed load"" available. I've deleted reinstalled several times nothing seemed work. Frustrating!",Negative,-0.02,0.42
21-Day Meditation Experience,I love meditation sessions. Especially I love try meditation commit buying it! And great customer service. There couple reasons I give 4 stars: 1) They stopped supporting older OS smartphones lower end me... Full Review,Positive,0.5111111111,0.5805555556
21-Day Meditation Experience,Frozen Day 3...Things w we're moving along great I hit day 3 stuck there.now everyday returns back day.what waste time. New Year Same problem freezes minutes playing. . Anything calming trans-formative experience,Positive,0.08939393939,0.3215909091
21-Day Meditation Experience,Stressed I downloaded start time I got emails saying day expired within 5 days I already missed Day 1 I needed Day 2 day. Meditation individuals time frame... And I want pay deep thinker.... Full Review,Positive,0.175,0.475
21-Day Meditation Experience,"Update: Apr 21, 2018 - I love itl. Reliable consistent. Old review: 2015 Lately every night I shows ""unable library"" message I uninstal n 're-install nightly... Contacted support team told work. So... Bad ..",Negative,-0.1083333333,0.4694444444
21-Day Meditation Experience,"Great meditations. Two things I wish would improve on. 1) allow daily reminders items purchased library set time daily reminder. 2) writing journal, blank space scrolls. It would nice instructions scroll well, bc much r... Full Review",Positive,0.2785714286,0.3571428571
21-Day Meditation Experience,"This totally awesome.... little trouble times w wanted go back relisten ""rewind"" recording freaked & close & start",Positive,0.153125,0.425
21-Day Meditation Experience,Day 1&2 fine. But day 3 froze quarter way thru meditation. That's disruptive. I'd rather online version. Uninstalling.,Positive,0.4166666667,0.5
21-Day Meditation Experience,"Overall, easy use. Houses meditation programs I purchased place allows stream time. Makes participating 21-day programs breeze. Gave four stars hang becomes stuck sometimes.",Positive,0.2166666667,0.4166666667
21-Day Meditation Experience,Regular free meditations.. what's love?? They like 1/2 spiritual teaching 1/2 meditation. I've even bought quite few. Great value!,Positive,0.2833333333,0.410042735
21-Day Meditation Experience,"I enjoy using complete meditations anywhere, however 21-day meditation series allow journaling way online via desktop. This huge faux pas, strongly important part experience.",Positive,0.325,0.7
21-Day Meditation Experience,I problems reviewers mentioned. This working great. I love hearing Oprah Deepak's voice...so calming. It's great addition regular practice.,Positive,0.525,0.5442307692
21-Day Meditation Experience,Love music & voices. I like I access ALL meditations 21 days. I missed trip & I can't access them.,Positive,0.5,0.6
21-Day Meditation Experience,Best App...hands down! I love variety sample meditations choose from. That mediation intro read prepare whats come. This duo dynamic (Oprah Deepak) force reckoned with...Thank helping become best sel... Full Review,Positive,0.4425925926,0.3675925926
21-Day Meditation Experience,"The content great hard use, gives sense actions progressing seems outdated poorly made. The easier need updating. It's shame program good!",Positive,0.1166666667,0.625
21-Day Meditation Experience,"It extremely calming excellent method center day. It brings anxiety stress levels leading progressive, peaceful, energetic positive mindset. I highy recommended hard time reaching true desired level ... Full Review",Positive,0.2400673401,0.5985690236
21-Day Meditation Experience,Has paid library available plus lists free meditation offer. Easy keep track navigate. Does always allow listen downloaded meditations I internet. The free experience registers I get reminders I've missed experience. Thanks fix.,Positive,0.3666666667,0.6066666667
21-Day Meditation Experience,"Love access meditations. After playing day, though, jumps back days starts replaying. Can fix glitch?",Positive,0.25,0.3
21-Day Meditation Experience,I know begin I asked 'whatever want call life force' I received answers. I imagine incredible positive creative flow meditations generate join together July 23. The unified field within us ... Full Review,Positive,0.4943181818,0.7488636364
21-Day Meditation Experience,"This good I updated it. Now I cannot access journal entries. It says ""Journal available meditation "" every day. Please fix",Positive,0.55,0.5
21-Day Meditation Experience,"I love app, quick & easy use, right size read. I.m able meditate anywhere w/o laptop. I don.t access email meditation experience, I handy app. I love 21 Day experience I get time. Thanks much.",Positive,0.3947089947,0.5548941799
21-Day Meditation Experience,"I love and depend app. IN which journal would stay, 5 days access free meditations--still made significant positive impact life.",Positive,0.3755681818,0.7051136364
21-Day Meditation Experience,Nice work consistently. Had frequent glitches barring access journal parts content,Positive,0.3166666667,0.5166666667
21-Day Meditation Experience,Thank changing permissions access! When I done meditation I enjoy quiet...this auto plays another right away makes awful loud introduction next meditation. This happened night uses data I catch it. Please consider changing I rea... Full Review,Positive,0.02261904762,0.5642857143
21-Day Meditation Experience,Amazing meditation sessions. Only wish option keep expired. Currently shredding weight Oprah absolutely helping stay track keep accountable.,Positive,0.2,0.8
21-Day Meditation Experience,"I've meditating Oprah Deepak using 21 day meditation experience several years now. Occasionally, topics practice resonated enough I've bought again. I look forward new 21 Day Experience enthusiasm excitement. They gui... Full Review",Positive,0.09727272727,0.3259090909
21-Day Meditation Experience,Terrible! Not user-friendly like original app. Please give customers option both. I look forward navigating cumbersome app. Namaste!,Negative,-0.265625,0.875
21-Day Meditation Experience,Deeply disappointed. My free 21 days longer works. It asking high price meditations. I expect Oprah involved scam. I respect her.,Negative,-0.06333333333,0.6966666667
21-Day Meditation Experience,Update 3.0 looks good. Would 5* without added pictures purchasing products taking space phone. All products already available making pictures redundant. Thanks experience.,Positive,0.275,0.35
21-Day Meditation Experience,"I guess can't please everyone... I loved update. I'm sure idea ""streamlined"" is, can't even read full title meditation trying use, theres problem. I love meditations themselves, comparing update update. The quality functionality like comparing apples oranges opinion. I'm sure looking wanted changes... feels completely mark.",Positive,0.4416666667,0.687962963
21-Day Meditation Experience,This good ever I get notification phone stops meditation playing annoying I press play disturbs meditation. I prefer ed upgrade,Negative,-0.05,0.75
21-Day Meditation Experience,I able listen 21 days past 2 frozen / crashed play. I liked upgrade point lot.,Positive,0.2833333333,0.5583333333
21-Day Meditation Experience,"Love offers dislike intensely keeps playing episode episode hours end. Used stop selected finished, much better way.",Positive,0.325,0.525
21-Day Meditation Experience,"Seems like update occurred, let access free meditation experience. Yesterday did, today matter try let me. Frustrating.",Neutral,0,0.85
21-Day Meditation Experience,I'm 21 days FREE meditation attraction. At first I could see program free. But update keeps showing order continue I pay.,Positive,0.35,0.6444444444
21-Day Meditation Experience,I Started Manifesting I want From 2nd Day My Meditation. I Wholeheartedly Thank Deepak ji Oprah Bringing This Excellent App. Highly Recommend it!!!,Positive,0.4375,0.5133333333
21-Day Meditation Experience,Great experience. User friendly navigation.,Positive,0.5875,0.625
21-Day Meditation Experience,Cool,Positive,0.35,0.65
21-Day Meditation Experience,It would best crashing time. The new version keeps crashing every time I open app. I'm missing 21 day experiences ones I purchased I cannot access now. It's getting frustrating. Plus new version allow view daily meditation... Full Review,Positive,0.1278409091,0.4011363636
21-Day Meditation Experience,"The 21-Day Meditations excellent addition daily meditation practice. Truly enjoy listening Oprah & Deepak. Short enough anytime, AM PM. It would merit 5-star ongoing glitch. I've uninstalled reinstalled fixed it. When... Full Review",Positive,0.2642857143,0.4357142857
21-Day Meditation Experience,"This glitchy phone. More often not, it'll say ""mediation failed load"" available. I've deleted reinstalled several times nothing seemed work. Frustrating!",Negative,-0.02,0.42
21-Day Meditation Experience,I love meditation sessions. Especially I love try meditation commit buying it! And great customer service. There couple reasons I give 4 stars: 1) They stopped supporting older OS smartphones lower end me... Full Review,Positive,0.5111111111,0.5805555556
21-Day Meditation Experience,Frozen Day 3...Things w we're moving along great I hit day 3 stuck there.now everyday returns back day.what waste time. New Year Same problem freezes minutes playing. . Anything calming trans-formative experience,Positive,0.08939393939,0.3215909091
21-Day Meditation Experience,Stressed I downloaded start time I got emails saying day expired within 5 days I already missed Day 1 I needed Day 2 day. Meditation individuals time frame... And I want pay deep thinker.... Full Review,Positive,0.175,0.475
21-Day Meditation Experience,"Update: Apr 21, 2018 - I love itl. Reliable consistent. Old review: 2015 Lately every night I shows ""unable library"" message I uninstal n 're-install nightly... Contacted support team told work. So... Bad ..",Negative,-0.1083333333,0.4694444444
